aluno_id,horas_estudo,frequencia,atividades_entregues,nota_anterior,nota_final
1,8.1,100.0,10,6.9,7.1
2,3.4,65.0,5,6.4,4.8
3,9.6,92.0,10,5.9,8.1
4,10.3,78.0,6,9.1,7.8
5,0.2,81.0,6,5.1,4.3
6,2.4,70.0,7,9.9,6.3
7,7.4,78.0,8,5.8,6.1
8,5.9,96.0,9,3.9,5.7
9,6.9,88.0,5,6.3,7.9
10,4.0,100.0,10,4.3,6.6
11,10.1,95.0,7,4.8,7.6
12,9.7,87.0,8,6.9,7.3
13,7.2,100.0,7,7.2,7.3
14,10.9,87.0,8,5.1,6.7
15,8.6,91.0,7,8.0,5.9
16,4.0,79.0,5,8.3,5.3
17,8.3,83.0,8,8.8,6.7
18,3.6,74.0,7,7.2,4.5
19,10.1,93.0,7,8.7,7.5
20,6.8,69.0,8,2.8,6.2
21,6.4,91.0,7,5.6,6.5
22,4.6,80.0,7,4.6,6.4
23,11.3,95.0,9,6.4,8.4
24,6.5,90.0,7,5.2,6.9
25,5.5,100.0,10,5.9,6.6
26,5.8,90.0,7,9.6,8.1
27,8.9,65.0,5,5.9,6.5
28,8.3,81.0,9,6.9,7.0
29,8.4,69.0,4,5.8,6.2
30,8.5,76.0,3,6.3,6.3
31,14.5,99.0,10,6.2,8.6
32,5.6,89.0,10,7.0,6.6
33,5.2,74.0,6,8.3,5.8
34,4.2,71.0,3,9.2,6.1
35,9.2,82.0,7,6.8,7.4
36,11.0,69.0,5,7.3,6.4
37,6.6,75.0,6,4.1,5.4
38,4.1,85.0,6,6.0,6.3
39,4.1,95.0,9,7.9,7.8
40,9.3,89.0,9,7.8,9.2
41,9.6,57.0,2,6.6,6.5
42,8.9,85.0,9,7.8,7.3
43,4.7,83.0,10,7.1,8.3
44,7.8,87.0,8,8.4,7.4
45,7.4,100.0,8,6.7,8.2
46,7.8,59.0,5,5.6,5.6
47,10.1,75.0,7,6.8,6.9
48,7.8,88.0,5,0.9,3.4
49,9.4,65.0,6,6.9,6.5
50,7.2,98.0,8,0.0,4.0
51,8.0,86.0,10,3.1,7.1
52,9.2,91.0,8,7.0,8.7
53,1.9,76.0,9,7.1,5.7
54,5.9,91.0,6,4.1,5.9
55,5.4,94.0,9,4.9,6.0
56,4.8,85.0,8,8.7,6.9
57,6.0,85.0,6,5.3,6.5
58,12.2,85.0,8,10.0,9.1
59,4.0,73.0,8,6.2,7.2
60,10.4,80.0,7,6.9,7.0
61,1.1,80.0,4,9.1,6.6
62,5.8,86.0,8,6.4,6.8
63,7.6,93.0,7,4.4,6.9
64,9.1,70.0,5,6.0,5.9
65,9.5,81.0,7,6.1,6.9
66,9.8,98.0,6,3.7,6.3
67,5.8,74.0,4,5.7,4.8
68,5.4,73.0,7,4.9,6.1
69,10.0,84.0,7,7.9,8.2
70,6.3,91.0,4,6.3,6.5
71,2.5,82.0,8,5.7,6.9
72,3.0,97.0,9,6.0,7.6
73,3.8,91.0,7,6.6,6.1
74,8.7,91.0,6,7.3,7.6
75,7.5,88.0,9,4.4,6.2
76,9.4,100.0,10,4.3,7.4
77,5.5,80.0,10,8.2,7.1
78,7.6,60.0,6,5.5,6.8
79,9.2,100.0,10,3.6,7.4
80,5.9,77.0,6,7.0,6.2
81,8.6,83.0,9,7.0,8.4
82,4.7,96.0,10,3.4,4.6
83,5.7,64.0,7,6.6,4.6
84,5.7,68.0,5,7.5,6.6
85,2.8,64.0,5,6.9,5.3
86,8.7,73.0,6,7.3,7.0
87,5.4,87.0,9,3.7,5.0
88,7.0,88.0,10,6.8,7.5
89,8.7,85.0,7,5.7,8.2
90,8.6,66.0,5,5.3,6.3
91,9.3,57.0,5,7.8,6.6
92,6.7,83.0,7,8.9,7.2
93,5.5,77.0,8,9.4,7.2
94,6.7,87.0,4,8.6,5.4
95,1.1,90.0,7,6.0,5.8
96,1.9,84.0,6,6.8,6.3
97,2.4,90.0,5,7.6,4.9
98,3.5,85.0,6,6.4,5.4
99,8.4,88.0,6,6.4,6.0
100,3.8,74.0,6,7.7,5.5
101,5.7,80.0,9,6.1,6.7
102,11.5,84.0,7,4.9,5.5
103,5.8,91.0,7,5.5,6.8
104,9.6,78.0,7,7.3,7.9
105,3.7,88.0,9,6.2,6.4
106,6.3,79.0,5,6.8,4.5
107,3.7,81.0,6,7.4,5.5
108,5.8,91.0,9,5.5,7.6
109,9.9,60.0,5,7.6,4.7
110,1.0,68.0,7,6.9,5.2
111,8.5,66.0,6,4.0,4.7
112,7.8,56.0,6,8.8,7.3
113,4.9,75.0,5,5.3,4.8
114,1.9,90.0,8,3.2,5.3
115,7.3,79.0,7,4.3,6.3
116,5.1,84.0,6,4.4,6.7
117,7.8,94.0,6,6.3,6.7
118,7.1,97.0,10,5.7,7.7
119,12.6,81.0,7,5.6,6.3
120,6.2,97.0,7,7.3,8.0
121,3.4,83.0,7,6.8,5.6
122,7.6,73.0,8,6.8,6.5
123,7.8,75.0,3,6.9,6.0
124,11.8,66.0,3,7.3,5.5
125,9.9,72.0,5,2.4,5.3
126,8.2,78.0,9,5.5,7.5
127,12.1,91.0,9,2.3,7.0
128,2.8,100.0,10,6.3,5.8
129,4.8,67.0,4,6.2,5.1
130,3.8,86.0,6,8.1,7.1
131,5.6,71.0,7,8.3,5.5
132,2.2,87.0,8,6.6,5.4
