nota_real,nota_prevista,erro
6.3,6.64,-0.34
6.6,7.57,-0.97
5.1,6.14,-1.04
6.6,6.49,0.11
7.2,8.33,-1.13
10.0,10.0,0.0
7.9,7.42,0.48
5.2,5.42,-0.22
6.3,6.77,-0.47
7.0,6.73,0.27
5.4,7.47,-2.07
9.1,9.1,0.0
8.0,7.38,0.62
5.6,5.5,0.1
7.0,7.24,-0.24
6.5,6.65,-0.15
6.8,6.72,0.08
6.9,5.35,1.55
7.8,7.16,0.64
5.5,5.28,0.22
7.4,7.14,0.26
5.3,5.08,0.22
6.7,7.14,-0.44
6.3,6.58,-0.28
6.4,6.58,-0.18
8.3,7.12,1.18
6.1,5.71,0.39
7.2,7.98,-0.78
7.1,7.37,-0.27
4.3,5.17,-0.87
4.5,6.14,-1.64
6.1,6.34,-0.24
6.1,6.08,0.02
6.6,7.31,-0.71
6.9,7.53,-0.63
8.0,7.25,0.75
5.7,6.37,-0.67
6.6,6.47,0.13
6.9,7.14,-0.24
7.6,7.32,0.28
5.4,6.94,-1.54
7.1,7.56,-0.46
7.0,6.37,0.63
6.6,5.96,0.64
6.8,5.65,1.15
5.9,6.16,-0.26
5.1,4.99,0.11
5.6,5.17,0.43
7.3,6.73,0.57
5.5,6.17,-0.67
8.5,7.58,0.92
4.8,5.51,-0.71
6.6,5.82,0.78
7.4,7.42,-0.02
5.2,6.02,-0.82
7.2,7.48,-0.28
5.4,5.95,-0.55
7.2,7.51,-0.31
6.6,6.97,-0.37
8.1,7.8,0.3
